id,name,url,category_breadcrumb,price_number,mediaURL_image,ratingAverage,discountPercentage,shop_id,shop_name,shop_city,shop_tier,countSold,isTopAds,labelGroups,totalRating,countReview
1901874662,Baju Koko Qurta Zain Pakistan Lengan 3/4 Kancing Mewah Bahan Katun Jepang Adem dan Lembut,https://www.tokopedia.com/easywalk/baju-koko-muslim-pria-kurta-pakistan-zain-putih-m?extParam=ivf%3Dfalse%26keyword%3Dpakaian+muslim%26search_id%3D20251229131843CD00692C3BFE590B460U%26src%3Dsearch,fashion-muslim/pakaian-muslim-pria/baju-koko-pria,93450,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/f178c5d92bb0402bb2d7372bb2ff810f~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1767017924&x-signature=7MDi3QOoQil%2FtUSzP1ECUy8zi5U%3D&x-signature-webp=0bm5BKjhtos5GmY14LoNtrKQ90c%3D,4.7,0,11123975,FashionMuslimindo,Jakarta Barat,3,10000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""10rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp93.450"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",4835,3147
102679651137,[PROMO] ETHICA ROYAL [CLASSIC PEACH] FAMILY SET TERBARU 2026 PROMO SALE,https://www.tokopedia.com/windabutik/promo-ethica-royal-classic-peach-family-set-terbaru-2026-promo-sale-1733549430932997980?extParam=ivf%3Dfalse%26keyword%3Dpakaian+muslim%26search_id%3D20251229131843CD00692C3BFE590B460U%26src%3Dsearch,fashion-muslim/pakaian-muslim-pria/baju-koko-pria,458910,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/b266b2305bd8412ba804f8db575f25b1~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1767017924&x-signature=JlnBgDGdj1CTzfnI6JVNFKbgMqk%3D&x-signature-webp=FNTpar%2FOA710sFWExYxcGTcUPvk%3D,5.0,0,7495181579233168220,winda.butik,Tangerang Selatan,3,10,False,"[{""position"": ""ri_product_credibility"", ""title"": ""10 terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp458.910"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",4,3
100272960807,Casella Baju Koko Pria Lengan Panjang Exclusive | Baju Koko Putih Bordir Ibrahim,https://www.tokopedia.com/casella/casella-baju-koko-pria-lengan-panjang-exclusive-baju-koko-putih-bordir-ibrahim-1729450157231082132?extParam=ivf%3Dtrue%26keyword%3Dpakaian+muslim%26search_id%3D20251229131843CD00692C3BFE590B460U%26src%3Dsearch%26whid%3D2389003,fashion-muslim/pakaian-muslim-pria/baju-koko-pria,223550,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/a7e53b661dd545f68b12961d9cfe24ea~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1767017924&x-signature=clJP7yjZo6YRsG08iV9fj2M%2BL%2Bo%3D&x-signature-webp=Wfupz%2FVYX%2BziTkSFzMS6gqgtXfY%3D,4.9,0,2978668,Casella Apparel,Jakarta Utara,2,6000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""6rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp223.550"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",1135,346
7409859853,Baju Koko Kurta Muslim Pakistan Pria Qomishu Jumbo Big Size,https://www.tokopedia.com/baho1106/baju-koko-kurta-muslim-pakistan-pria-qomishu-jumbo-big-size-hitam-m-37819?extParam=ivf%3Dfalse%26keyword%3Dpakaian+muslim%26search_id%3D20251229131843CD00692C3BFE590B460U%26src%3Dsearch,fashion-muslim/pakaian-muslim-pria/baju-koko-pria,124900,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2023/1/16/9db36f2e-0148-49f1-96b7-3bb7d8f48622.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1767017924&x-signature=Rx60F47Edaf57HdngCCWN1qg21c%3D&x-signature-webp=AjjYqDFx3OxkeYybEJVF46br2LQ%3D,4.9,0,5328213,Toko Baho_NEW,Tangerang Selatan,1,1000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""1rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp124.900"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",634,197
100314414330,Baju KEMEJA KOKO pria dewasa kancing premium bisa seragam Kemko Sultan motif etnik Muslim Atasan Slim Fit lengan Panjang Casual Formal Embos Katun Batik,https://www.tokopedia.com/muztasbih-872/baju-kemeja-koko-pria-dewasa-kancing-premium-bisa-seragam-kemko-sultan-motif-etnik-muslim-atasan-slim-fit-lengan-panjang-casual-formal-embos-katun-batik-1729685039366114054?extParam=ivf%3Dfalse%26keyword%3Dpakaian+muslim%26search_id%3D20251229131843CD00692C3BFE590B460U%26src%3Dsearch,fashion-muslim/pakaian-muslim-pria/baju-koko-pria,108800,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/5c86bccdc50f47d19d1d2c3052681bb6~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1767017924&x-signature=66JG52zZPJ%2BRQYU35sLbaJ7Dk9E%3D&x-signature-webp=BfiOmV8dCZ%2BuOggdZsO1bdLlWIg%3D,4.8,0,7495157013164231430,Muz.Tasbih,Kab. Bogor,3,10000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""10rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp108.800"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",293,133
100006655510,BAJU KEMEJA KOKO PRIA DEWASA LENGAN PANJANG SIZE M L XL TERBARU,https://www.tokopedia.com/ar-rahmanid/baju-kemeja-koko-pria-dewasa-lengan-panjang-size-m-l-xl-terbaru-1730267709735405072?extParam=ivf%3Dfalse%26keyword%3Dpakaian+muslim%26search_id%3D20251229131843CD00692C3BFE590B460U%26src%3Dsearch,fashion-muslim/pakaian-muslim-pria/baju-koko-pria,94525,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/560bd891cb4b4d02bdd364d2675cd9de~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1767017924&x-signature=vKWq8l8IJGh2TUxAeXXVoNxbUt0%3D&x-signature-webp=61snD16U7YvT0lvjSIkGU1dE%2Bs8%3D,4.4,0,7494502531746925072,AR RAHMAN.ID_NEW,Kab. Pekalongan,1,750,False,"[{""position"": ""ri_product_credibility"", ""title"": ""750+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp94.525"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",89,68
100174066734,Dress Mauna | Gamis Silk Premium Motif Cantik Busui Freandly | Dress Jumbo Premium Realpecth Pakaian Muslim Wanita Pesta Dan Pengajian Bunga Formal,https://www.tokopedia.com/zifacollection-dpstore/dress-mauna-gamis-silk-premium-motif-cantik-busui-freandly-dress-jumbo-premium-realpecth-pakaian-muslim-wanita-pesta-dan-pengajian-bunga-formal-1729664209017800271?extParam=ivf%3Dfalse%26keyword%3Dpakaian+muslim%26search_id%3D20251229131843CD00692C3BFE590B460U%26src%3Dsearch,fashion-muslim/dress-muslim-wanita/gamis-wanita,131000,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/198fdf498127405f840fe600e1cf5357~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1767017924&x-signature=aNIxGi9Gx1sa%2Fps2ctWxcw0xoks%3D&x-signature-webp=HSRBPrYr%2BxN8wTMFvReB2eSTNIA%3D,4.7,0,7494697525578533455,ZifaCollection d'pstore,Jakarta Barat,3,10000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""10rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp131.000"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",1528,638
100534368140,"Neisya Dress Payet Wanita Muslimah Terbaru - Cerruty Premium Full Furing Halus - Gamis, Dewasa",https://www.tokopedia.com/butik-neisya/neisya-dress-payet-wanita-muslimah-terbaru-cerruty-premium-full-furing-halus-gamis-dewasa-1731455352025613418?extParam=ivf%3Dfalse%26keyword%3Dpakaian+muslim%26search_id%3D20251229131843CD00692C3BFE590B460U%26src%3Dsearch,fashion-muslim/dress-muslim-wanita/gamis-wanita,230750,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/244fb891931d4ab5bcf0b146a2e01cb1~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1767017924&x-signature=piT1seaqwKPpVRJowwtLsqNGLuE%3D&x-signature-webp=%2FQ%2BzVC8deZbmH6cl3%2FzlE6HtsuQ%3D,5.0,0,7494865764754753642,Butik Neisya,Kab. Kuningan,1,27,False,"[{""position"": ""ri_product_credibility"", ""title"": ""27 terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp230.750"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",3,3
100811436046,MARAJO KURTA - Baju Kemeja Koko Pria Dewasa Lengan Panjang Kombinasi Batik Sublime Terbaru Bahan Toyobo Premium Atasan Muslim Katun Motif Hitam Pendek Kain Nyaman Keren Abu Navy koko way branded koko  kemeja,https://www.tokopedia.com/husein-official23/marajo-kurta-baju-kemeja-koko-pria-dewasa-lengan-panjang-kombinasi-batik-sublime-terbaru-bahan-toyobo-premium-atasan-muslim-katun-motif-hitam-pendek-kain-nyaman-keren-abu-navy-koko-way-branded-koko-kemeja-1730029633815676599?extParam=ivf%3Dfalse%26keyword%3Dpakaian+muslim%26search_id%3D20251229131843CD00692C3BFE590B460U%26src%3Dsearch,fashion-muslim/pakaian-muslim-pria/baju-koko-pria,195750,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/2a1b1c4962c54d86b188c4d6ac68400e~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1767017924&x-signature=ZUarIhsNsnQTLhjE2%2B7eeXYFsNA%3D&x-signature-webp=erBhDi8Q2TL8PIqb5rgrDxVqop4%3D,4.9,0,3014865,Hasnah Muslim Store,Kab. Bandung,3,80,False,"[{""position"": ""ri_product_credibility"", ""title"": ""80+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp195.750"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",41,13
100029657650,Koko Putih Bordir Premium Terbaru Hasgradini - Model Panjang Pria,https://www.tokopedia.com/khalisa-halwa/koko-putih-bordir-premium-terbaru-hasgradini-model-panjang-pria-1729601581713492359?extParam=ivf%3Dfalse%26keyword%3Dpakaian+muslim%26search_id%3D20251229131843CD00692C3BFE590B460U%26src%3Dsearch,fashion-muslim/pakaian-muslim-pria/baju-koko-pria,155000,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/bb1ad2bc80b64d81bc7433faf5a55c1f~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1767017924&x-signature=xrth7ysFkyi39Cq%2BaID8GiHvesM%3D&x-signature-webp=7VqEd6WiaHHl%2BEVw%2FYbwf4wSMrM%3D,4.9,0,7494797224756021639,Khalisa Halwa,Tangerang,3,10000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""10rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp155.000"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",1877,1075
